2017-12-28 08:10:54	mijo	https://deqoda.com/	Parse Error: 	syntax error, unexpected 'echo' (T_ECHO) (line 191 of /customers/0/2/c/deqoda.com/httpd.www/site/templates/home.php)
2017-12-28 08:15:23	mijo	https://deqoda.com/snippets/how-to-replace-text-in-a-string-with-jquery/	Error: 	Exception: Unknown Selector operator: '' -- was your selector value properly escaped?  (in /customers/0/2/c/deqoda.com/httpd.www/wire/core/Selectors.php line 396)  #0 /customers/0/2/c/deqoda.com/httpd.www/wire/core/Selectors.php(439): ProcessWire\Selectors->create('nazivplugina', '', '') #1 /customers/0/2/c/deqoda.com/httpd.www/wire/core/Selectors.php(159): ProcessWire\Selectors->extractString('') #2 /customers/0/2/c/deqoda.com/httpd.www/wire/core/Selectors.php(145): ProcessWire\Selectors->setSelectorString('nazivplugina') #3 /customers/0/2/c/deqoda.com/httpd.www/wire/core/PagesLoader.php(217): ProcessWire\Selectors->init('nazivplugina') #4 /customers/0/2/c/deqoda.com/httpd.www/wire/core/Pages.php(232): ProcessWire\PagesLoader->find('nazivplugina', Array) #5 /customers/0/2/c/deqoda.com/httpd.www/wire/core/Wire.php(386): ProcessWire\Pages->___find('nazivplugina', Array) #6 /customers/0/2/c/deqoda.com/httpd.www/wire/core/WireHooks.php(698): ProcessWire\Wire->_callMethod('___find', Array) #7 /customers/0/2/c/deq
2017-12-28 08:15:26	mijo	https://deqoda.com/snippets/how-to-replace-text-in-a-string-with-jquery/	Error: 	Exception: Unknown Selector operator: '' -- was your selector value properly escaped?  (in /customers/0/2/c/deqoda.com/httpd.www/wire/core/Selectors.php line 396)  #0 /customers/0/2/c/deqoda.com/httpd.www/wire/core/Selectors.php(439): ProcessWire\Selectors->create('nazivplugina', '', '') #1 /customers/0/2/c/deqoda.com/httpd.www/wire/core/Selectors.php(159): ProcessWire\Selectors->extractString('') #2 /customers/0/2/c/deqoda.com/httpd.www/wire/core/Selectors.php(145): ProcessWire\Selectors->setSelectorString('nazivplugina') #3 /customers/0/2/c/deqoda.com/httpd.www/wire/core/PagesLoader.php(217): ProcessWire\Selectors->init('nazivplugina') #4 /customers/0/2/c/deqoda.com/httpd.www/wire/core/Pages.php(232): ProcessWire\PagesLoader->find('nazivplugina', Array) #5 /customers/0/2/c/deqoda.com/httpd.www/wire/core/Wire.php(386): ProcessWire\Pages->___find('nazivplugina', Array) #6 /customers/0/2/c/deqoda.com/httpd.www/wire/core/WireHooks.php(698): ProcessWire\Wire->_callMethod('___find', Array) #7 /customers/0/2/c/deq
2017-12-28 08:15:39	mijo	https://deqoda.com/snippets/how-to-replace-text-in-a-string-with-jquery/	Error: 	Exception: Unknown Selector operator: '' -- was your selector value properly escaped?  (in /customers/0/2/c/deqoda.com/httpd.www/wire/core/Selectors.php line 396)  #0 /customers/0/2/c/deqoda.com/httpd.www/wire/core/Selectors.php(439): ProcessWire\Selectors->create('nazivplugina', '', '') #1 /customers/0/2/c/deqoda.com/httpd.www/wire/core/Selectors.php(159): ProcessWire\Selectors->extractString('') #2 /customers/0/2/c/deqoda.com/httpd.www/wire/core/Selectors.php(145): ProcessWire\Selectors->setSelectorString('nazivplugina') #3 /customers/0/2/c/deqoda.com/httpd.www/wire/core/PagesLoader.php(217): ProcessWire\Selectors->init('nazivplugina') #4 /customers/0/2/c/deqoda.com/httpd.www/wire/core/Pages.php(232): ProcessWire\PagesLoader->find('nazivplugina', Array) #5 /customers/0/2/c/deqoda.com/httpd.www/wire/core/Wire.php(386): ProcessWire\Pages->___find('nazivplugina', Array) #6 /customers/0/2/c/deqoda.com/httpd.www/wire/core/WireHooks.php(698): ProcessWire\Wire->_callMethod('___find', Array) #7 /customers/0/2/c/deq
2017-12-28 08:16:18	mijo	https://deqoda.com/snippets/how-to-replace-text-in-a-string-with-jquery/	Error: 	Exception: Unknown Selector operator: '' -- was your selector value properly escaped?  (in /customers/0/2/c/deqoda.com/httpd.www/wire/core/Selectors.php line 396)  #0 /customers/0/2/c/deqoda.com/httpd.www/wire/core/Selectors.php(439): ProcessWire\Selectors->create('nazivplugina', '', '') #1 /customers/0/2/c/deqoda.com/httpd.www/wire/core/Selectors.php(159): ProcessWire\Selectors->extractString('') #2 /customers/0/2/c/deqoda.com/httpd.www/wire/core/Selectors.php(145): ProcessWire\Selectors->setSelectorString('nazivplugina') #3 /customers/0/2/c/deqoda.com/httpd.www/wire/core/PagesLoader.php(217): ProcessWire\Selectors->init('nazivplugina') #4 /customers/0/2/c/deqoda.com/httpd.www/wire/core/Pages.php(232): ProcessWire\PagesLoader->find('nazivplugina', Array) #5 /customers/0/2/c/deqoda.com/httpd.www/wire/core/Wire.php(386): ProcessWire\Pages->___find('nazivplugina', Array) #6 /customers/0/2/c/deqoda.com/httpd.www/wire/core/WireHooks.php(698): ProcessWire\Wire->_callMethod('___find', Array) #7 /customers/0/2/c/deq
2017-12-28 08:35:14	mijo	https://deqoda.com/	Parse Error: 	syntax error, unexpected '<' (line 191 of /customers/0/2/c/deqoda.com/httpd.www/site/templates/home.php)
2017-12-28 09:08:22	mijo	https://deqoda.com/plugins/	Parse Error: 	syntax error, unexpected 'fa' (T_STRING), expecting ',' or ';' (line 120 of /customers/0/2/c/deqoda.com/httpd.www/site/templates/pluginlista.php)
2017-12-28 09:08:56	mijo	https://deqoda.com/plugins/	Parse Error: 	syntax error, unexpected 'fa' (T_STRING), expecting ',' or ';' (line 120 of /customers/0/2/c/deqoda.com/httpd.www/site/templates/pluginlista.php)
2017-12-28 09:09:15	mijo	https://deqoda.com/plugins/	Parse Error: 	syntax error, unexpected '<' (line 120 of /customers/0/2/c/deqoda.com/httpd.www/site/templates/pluginlista.php)
2017-12-28 09:14:15	mijo	https://deqoda.com/plugins/	Parse Error: 	syntax error, unexpected 'fa' (T_STRING), expecting ',' or ';' (line 122 of /customers/0/2/c/deqoda.com/httpd.www/site/templates/pluginlista.php)
2017-12-28 09:14:29	mijo	https://deqoda.com/plugins/	Parse Error: 	syntax error, unexpected 'fa' (T_STRING), expecting ',' or ';' (line 122 of /customers/0/2/c/deqoda.com/httpd.www/site/templates/pluginlista.php)
